material,voxel_size_m,nodes,bonds,dt_label,dt_s,steps,repeats,accepted_steps,outer_min,outer_max,linear_min,linear_max,max_velocity_residual_m_s,wall_min_ms,wall_med_ms,wall_p95_ms,wall_max_ms,realtime_ratio_med,status
oak,0.08,179,1957,2ms,0.002,12,3,36/36,3,3,87,101,2.47396e-12,1.6002,1.6914,3.1333,3.2861,0.8457,ok
oak,0.08,179,1957,1/480,0.0020833333333333333,12,3,36/36,3,3,87,101,3.04106e-12,1.6006,1.6852,2.9495,3.3922,0.8089,ok
oak,0.08,179,1957,1/960,0.0010416666666666667,12,3,36/36,3,3,44,45,5.69103e-10,0.8441,0.8876,1.1817,1.5037,0.8521,ok
oak,0.06,461,5665,1/30,0.03333333333333333,12,3,0/1,62,62,8704,8704,5.86462e-09,377.9735,377.9735,377.9735,377.9735,11.34,rejected
oak,0.06,461,5665,1/60,0.016666666666666666,12,3,0/1,7,7,557,557,1.25415e-09,23.7297,23.7297,23.7297,23.7297,1.424,rejected
oak,0.06,461,5665,1/120,0.008333333333333333,12,3,36/36,4,4,199,230,4.2563e-10,8.2785,9.4461,11.4117,12.8466,1.134,ok
oak,0.06,461,5665,1/240,0.004166666666666667,12,3,36/36,4,4,111,112,2.46926e-10,4.9750,5.1486,6.7256,9.5374,1.236,ok
oak,0.06,461,5665,2ms,0.002,12,3,36/36,3,3,109,130,2.60362e-11,4.8691,5.3126,6.8272,7.4312,2.656,ok
oak,0.06,461,5665,1/480,0.0020833333333333333,12,3,36/36,3,3,110,117,2.83288e-11,4.9422,5.2180,10.8767,11.0189,2.505,ok
oak,0.06,461,5665,1/960,0.0010416666666666667,12,3,36/36,3,3,105,127,7.21541e-12,4.9964,5.4274,8.3535,8.5390,5.21,ok
oak,0.05,739,9477,1/30,0.03333333333333333,12,3,0/1,46,46,17316,17316,7.14984e-09,1248.7825,1248.7825,1248.7825,1248.7825,37.46,rejected
oak,0.05,739,9477,1/60,0.016666666666666666,12,3,0/1,6,6,1054,1054,1.49305e-09,77.7088,77.7088,77.7088,77.7088,4.663,rejected
oak,0.05,739,9477,1/120,0.008333333333333333,12,3,36/36,4,4,358,520,6.38727e-10,26.3782,32.6084,39.4689,39.7419,3.913,ok
oak,0.05,739,9477,1/240,0.004166666666666667,12,3,36/36,4,4,194,194,2.47992e-10,14.6744,15.9568,18.7850,18.8776,3.83,ok
oak,0.05,739,9477,2ms,0.002,12,3,36/36,3,4,129,134,4.05367e-11,9.6191,10.8167,13.1328,15.0620,5.408,ok
oak,0.05,739,9477,1/480,0.0020833333333333333,12,3,36/36,4,4,129,133,3.75257e-11,10.1427,10.9412,13.5923,13.6880,5.252,ok
oak,0.05,739,9477,1/960,0.0010416666666666667,12,3,36/36,3,3,120,142,1.02247e-11,9.4027,10.7204,13.9381,15.3113,10.29,ok
oak,0.04,1285,17097,1/30,0.03333333333333333,12,3,0/1,53,53,20502,20502,1.1785e-08,2651.5697,2651.5697,2651.5697,2651.5697,79.55,rejected
