material,damping_kg_s,comparison,first_experiment,second_experiment,time_s,position_rms_m,velocity_rms_m_s,position_max_m,velocity_max_m_s,com_position_difference_m,com_velocity_difference_m_s,internal_kinetic_difference_j,body_elastic_difference_j
glass,10000,fixed_comparison,adaptive-10,fixed,0.0038,8.692428671457819e-08,0.01961983380124001,2.8894679232616127e-07,0.06520987786610877,1.7758569815412293e-09,7.954373271168583e-09,0.0016208398390320788,0.0018332386769999987
glass,10000,fixed_comparison,adaptive-10,fixed,0.0039,9.360274670402982e-08,0.01966970035115636,3.365954704959151e-07,0.08329243809564324,1.775061570169915e-09,7.95409405007789e-09,0.0035507564669290392,0.0037631555247999993
glass,10000,fixed_comparison,adaptive-10,fixed,0.004,8.933366962529658e-08,0.02093224403710809,2.1735812113724096e-07,0.10116121370869482,1.774266178747919e-09,7.954103264929004e-09,0.003944040716482494,0.004156439597000017
glass,10000,fixed_comparison,adaptive-10,fixed,0.0041,1.0174312808125909e-07,0.018907513039275008,4.489667887463966e-07,0.08297182288723137,1.7734709539677953e-09,7.951393876659709e-09,0.0035373750981699537,0.0033249760840000087
glass,10000,fixed_comparison,adaptive-10,fixed,0.0042,1.0133372941283082e-07,0.020183497506821045,3.4393652020847654e-07,0.11087546233685297,1.772675818417511e-09,7.951252212201767e-09,0.0008660988676726933,0.0006536998610000011
glass,10000,fixed_comparison,adaptive-10,fixed,0.0043,1.0360478597988838e-07,0.020042280976634845,3.489664029357311e-07,0.07223356331629605,1.7718806377644158e-09,7.952094316365953e-09,0.0006180809821625388,0.0008304799309999944
glass,10000,fixed_comparison,adaptive-10,fixed,0.0044,1.0655123831409615e-07,0.02114447198347829,3.3074625098277466e-07,0.05869552938634038,1.7710854373788415e-09,7.952201119820922e-09,0.0008039423119907962,0.0005915434120000035
glass,10000,fixed_comparison,adaptive-10,fixed,0.0045,9.894013483260319e-08,0.022582920402193965,3.2866090704519735e-07,0.11670360283109582,1.7702902011061754e-09,7.952477010242533e-09,0.005576904670471977,0.005789303587
glass,10000,fixed_comparison,adaptive-10,fixed,0.0046,1.1103991603162955e-07,0.021380216965796717,5.059205214485996e-07,0.09041267831337652,1.7694949819639025e-09,7.951463043554143e-09,0.005035573447804226,0.004823174425999999
glass,10000,fixed_comparison,adaptive-10,fixed,0.0047,1.0784106063973868e-07,0.022716529596837867,2.925741637571644e-07,0.08534043356127285,1.7686997966487367e-09,7.952079106310507e-09,0.0011571445816053738,0.0009447456540000176
glass,10000,fixed_comparison,adaptive-10,fixed,0.0048,1.131952403831739e-07,0.02203047009877768,2.8054553080572224e-07,0.08759351470503407,1.7679047791680692e-09,7.947609348413363e-09,0.003314052801100642,0.0035264519999999855
glass,10000,fixed_comparison,adaptive-10,fixed,0.0049,1.1498437541580175e-07,0.02244598341727428,3.200488189747386e-07,0.0865103509681362,1.7671100019466034e-09,7.946911906309294e-09,0.008336026304164107,0.008548425444000002
glass,10000,fixed_comparison,adaptive-10,fixed,0.005,1.1841227585056361e-07,0.022271482523761,6.534109519840126e-07,0.09730843070921402,1.7663153103771112e-09,7.947391744700537e-09,0.0006149672273839668,0.0008273662989999875
iron,10000,fixed_comparison,adaptive-1000,fixed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iron,10000,fixed_comparison,adaptive-1000,fixed,0.0001,9.672677970807343e-16,0.0,1.3732700395566711e-15,0.0,5.150975546487455e-16,0.0,0.0,6.1714297546063105e-18
